Companies,URL,Description,Business Model,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Commercial Maturity,IPO Probability,M&A Probability,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
Solvitur Systems,solvitursystems.com,"Solvitur Systems specializes in comprehensive cybersecurity, cloud, and AI/ML services within the information technology and management consulting sectors. The company offers tailored solutions for IT risk management and compliance, cybersecurity services, cloud compliance and security, and AI/ML services to optimize security, compliance, and operational efficiency. Solvitur Systems primarily serves sectors that require stringent cybersecurity and compliance measures, such as defense, finance, and healthcare. It was founded in 2007 and is based in Leesburg, Virginia.","B2B, B2G, Fee-for-service",IT Services,IT Solutions & Software Development,,,,3: Deploying,0.48%,9.86%,United States,,Microsoft Black Partner Growth Initiative,,,,12,-36.842106%,Alive / Active,2007,,
Pecker Ai,peckerai.com,"Pecker Ai is an intelligent security inspection solution provider, relying on computer vision and graphic image analysis technology to provide users with ""security inspection intelligent image judgment"" to help users solve express security solutions.","B2B, Fee-for-service, SaaS",Security Software,,"Smart Cities, Cybersecurity",,112,,0.50%,1.48%,China,,,,Unattributed,2020-08-06,,0%,Alive / Active,2019,,
TrustMe Property exchange,tpx-london.io,"TrustMe Property Exchange designs, delivers and operates global real estate exchanges utilising distributed ledger technologies, artificial intelligence, messaging, cyber security, storage and smart contracts to transform legacy real estate work flow processes into a fast, efficient, liquid and secure, global property trading system.","B2B, Commission, Marketplace, SaaS",Internet Software & Services,Real Estate,,,,,,,United Kingdom,,,,,,,0%,Alive / Active,2017,,
Loccus AI,loccus.ai,"Loccus AI specializes in AI-powered voice security within the voice authentication and fraud protection industries. The company offers solutions for real-time voice verification, deepfake detection, and identity verification using voice, all powered by advanced deep learning technology. It primarily serves sectors that require secure voice communication and authentication, such as customer support centers, social media platforms, and personal communication channels. It was founded in 2022 and is based in Barcelona, Spain. In July 2024, Loccus AI was acquired by Hiya.",B2B,Internet Software & Services,Conferencing & Communication,Cybersecurity,,,,,,Spain,,Hiya,,,,8,14.285714%,Acquired,2022,,
MESASIGHT,mesasight.com,"MESASIGHT focuses on artificial intelligence and computer vision in the security and high-risk applications sectors. The company develops high-performance object and threat detection or recognition solutions using machine learning and deep learning. Its solutions are primarily used in the security industry, including sectors such as aviation, border control, and public and private security. It was founded in 2020 and is based in München, Germany.","B2B, B2G","Business Intelligence, Analytics & Performance Mgmt Software",,,,,,0.43%,3.13%,Germany,,Munich Impact Award,,,,3,0%,Alive / Active,2020,,
PrivaSapien,privasapien.com,"PrivaSapien specializes in privacy-enhancing technologies and responsible artificial intelligence governance within the data protection and cybersecurity sectors. The company offers solutions for privacy threat modeling, data pseudonymization, synthetic data generation, and AI model security, aimed at helping organizations comply with privacy regulations and secure sensitive data. It primarily serves the cybersecurity industry. PrivaSapien was formerly known as TruthShare. It was founded in 2019 and is based in Bangalore, India.","B2B, SaaS",Internet Software & Services,Monitoring & Security,,,416,3: Deploying,0.46%,2.15%,India,1.10,"Omidyar Network India, NetApp Excellerator, Google for Startups Accelerator: AI First",,Incubator/Accelerator - II,2024-07-18,23,0%,Alive / Active,2019,,
Avutec,avutec.com,"Avutec specializes in the development and manufacturing of smart camera systems for optical character recognition and visual AI within the security and surveillance sector. The company's main offerings include camera systems that perform world-class recognition and integrate seamlessly with various systems, utilizing both hardware and software developed in-house. Avutec primarily serves sectors such as access control, car washes, hospitality, and the petrol industry. It is based in Breda, Netherlands.","B2B, Manufacturer",Science & Engineering,,Smart Cities,,,3: Deploying,0.65%,27.08%,Netherlands,,,,,,6,20%,Alive / Active,,,
Pinn,pinn.ai,"Pinn specializes in digital identity verification technologies within the cybersecurity sector. The company offers solutions that integrate advanced biometrics, attribution, device security, and artificial intelligence to create secure and seamless authentication experiences. Pinn's technologies are designed to establish a complete and accurate connection between real individuals and their digital profiles. It was founded in 2016 and is based in Redwood City, California.","B2B, SaaS",Mobile Software & Services,Security,Cybersecurity,,383,,0.42%,4.34%,United States,,"BootstrapLabs, Ocho Investments, Slewgrass Capital, Story Ventures, Plug and Play",,Incubator/Accelerator,2015-05-28,8,0%,Alive / Active,2016,,
Inspectos,inspectos.com,"Inspectos is a company specializing in digital transformation of inspection and evaluation operations through intelligent solutions within the financial and insurance industries. The company offers a robust platform for digital inspections, utilizing artificial intelligence to provide agility, security, and operational efficiency in the inspection process. Inspectos primarily serves sectors such as banking, insurance, financial services, and consortiums with its suite of digital solutions. It was founded in 2019 and is based in Sao Paulo, Brazil.","B2B, SaaS",Internet Software & Services,Application & Data Integration,,,228,,0.43%,1.40%,Brazil,,boostlab,,Incubator/Accelerator,2022-03-15,30,3.4482758%,Alive / Active,2019,,
Digital Anhui,,"Digital Anhui focuses on internet security services, artificial intelligence public data platforms, cloud computing equipment manufacturing, information security equipment sales, and so on. The company was founded in 2022 and is based in Hefei, China.",,Internet Software & Services,Monitoring & Security,,,,,,,China,,"Anhui Guoyuan Financial Holding, Anhui Provincial Investment Group Holding Co., Anhui State-owned Capital Operation Holding Group, iFLYTEK",,Seed,2022-06-20,,0%,Alive / Active,2022,,
Naptic AI,napticai.com,"Naptic AI specializes in artificial intelligence-driven surveillance solutions within the security industry. It offers AI-powered threat detection, smart video search, customer analytics, and surveillance automation services. It primarily serves the commercial sector, law enforcement agencies, and educational institutions. It was founded in 2020 and is based in Austin, Texas.","B2B, B2G, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,,2: Validating,0.46%,8.38%,United States,,International Accelerator,,,,,0%,Alive / Active,2020,,
COPX,copx.ai,COPX is an AI tech company. The company's platform enhances blockchain security through advanced AI-driven solutions. It was founded in 2024 and is based in Singapore.,,Internet Software & Services,Monitoring & Security,Cybersecurity,,,1: Emerging,0.59%,20.45%,Singapore,,,,,,,0%,Alive / Active,2024,,
Turing AI,turing.ai,"Turing AI specializes in artificial intelligence-driven safety and security solutions within the technology sector. The company offers a comprehensive AI-powered video surveillance platform that enhances safety and security operations, along with cloud-based video management systems, real-time smart alerts, and advanced video search functionalities. Turing AI's products are utilized across various sectors, including retail, real estate, casino and gaming industries, and corporate data centers. It was founded in 2017 and is based in San Mateo, California.","B2B, SaaS",Internet Software & Services,,,,351,3: Deploying,0.41%,1.95%,United States,,"Basis Set, UpHonest Capital",,Seed VC,2019-03-01,81,-5.8139534%,Alive / Active,2017,,
MILL5,mill5.com,"MILL5 is a global technology consulting and product company operating in the software industry. The company offers a range of services including software consulting, performance engineering, and managed services, with a focus on developing and implementing solutions in areas such as cloud technology, data and artificial intelligence, internet of things, productivity, and security. MILL5 primarily serves sectors such as financial services, healthcare, manufacturing, retail and consumer goods, transportation, and utilities and energy. It was founded in 2015 and is based in Boston, Massachusetts.","B2B, Fee-for-service",IT Services,,,,,3: Deploying,0.63%,4.02%,United States,,,,,,50,13.636364%,Alive / Active,2015,,
Minim,,"Minim is a company that focuses on residential managed WiFi and IoT security in the networking industry. The company offers a platform that provides AI-driven optimization, security, and support for home WiFi networks, as well as a variety of routers to enhance connectivity. It primarily serves the home technology and internet security sectors. It was founded in 1977 and is based in Boston, Massachusetts.",,Internet Software & Services,Conferencing & Communication,,,,,,,United States,,,,,,73,-13.095238%,Alive / Active,1977,,
Group8,group8.co,"Group8 is a cybersecurity and cyber intelligence company operating in the information security and artificial intelligence sectors. The company offers a range of solutions aimed at protecting digital assets, backed by offensive cybersecurity research. Its primary customer base includes fintech companies, internet-first businesses, small and medium-sized enterprises, and government agencies. It is based in Singapore, Singapore.","B2B, B2G",Internet Software & Services,Monitoring & Security,,,,,0.51%,13.03%,Singapore,,,,,,11,120%,Alive / Active,,,
AiLERT,ai-lert.com,"AiLERT is a company focused on enhancing security measures through AI-powered weapon detection systems within the security and surveillance industry. The company offers a product named SAMSON, which integrates with existing surveillance infrastructure to provide real-time detection and identification of firearms, aiming to ensure the safety of public spaces, educational institutions, and various venues. AiLERT's technology is designed to deliver swift and accurate weapon identification, contributing to proactive security measures. AiLERT was formerly known as 1702ai. It was founded in 2019 and is based in Boston, Massachusetts.","B2B, B2G, SaaS, Usage-based",Internet Software & Services,Monitoring & Security,,,237,,0.44%,2.86%,United States,,"Sarona Ventures, TAU Ventures, Champel Capital, Hub71",,Incubator/Accelerator,2020-11-02,0,0%,Alive / Active,2019,,
Akuvox,akuvox.com,"Akuvox specializes in smart intercom solutions, focusing on intelligent building access and home control within the security and communications industry. The company offers a range of products including SIP video intercom systems, Android-based devices, and integrated artificial intelligence for enhanced building security and management. Akuvox's solutions cater to various sectors, including residential, commercial, and assisted care facilities. It was founded in 2012 and is based in Xiamen, Fujian.","B2B, Manufacturer",Computer Networking Equipment,Network Access & Communication Devices,,,122,4: Scaling,0.59%,1.30%,China,,"Star-Net Communication, Industrial Securities Capital",,Series A,2022-06-15,,0%,Alive / Active,2012,,
Combitech,combitech.com,"Combitech focuses on advancing a smarter, more sustainable, and resilient society through its expertise in technology and consulting services within various sectors. The company offers a broad range of services including cyber security, defense, AI and data analytics, IT services, and business development, aimed at enhancing infrastructure robustness and safety-critical systems. Combitech primarily serves sectors such as defense, smart and secure industry, public sector, banking and finance, ICT, and automotive. It is based in Linkoping, Sweden.","B2B, B2G, Fee-for-service",IT Services,Data Storage & Security,Cybersecurity,,,,0.90%,9.89%,Sweden,,Saab Ventures,,,,,0%,Alive / Active,,,
ESTsoft,estsoft.ai,"ESTsoft is a company that focuses on artificial intelligence (AI) technology, operating in the software and technology sectors. The company offers a range of AI-based services, including virtual fitting technology, AI security solutions, and AI-based financial services. Their products are designed to enhance everyday life, improve security, and drive innovation in the financial sector. It was founded in 1993 and is based in Seoul, South Korea.","B2B, SaaS",Science & Engineering,,,,,,,,South Korea,,"KT Corporation, KDB Capital, Atinum Investment",,Corporate Minority - II,2001-12-01,,0%,IPO / Went public,1993,,
Fourth Evolution,,"Fourth Evolution creates leading-edge technologies, and provides consulting and development services, focused on Machine Learning, Artificial Intelligence, the Internet-of-Things, Information-Centric Networking, security/encryption and 3D interfaces.",,Consulting & Outsourcing,"Research, Engineering & Technical",,,,,,,United States,,,,,,,0%,Alive / Active,,,
Ami Huasheng Data Technology,amhszg.com,"Ami Huasheng Data Technology develops autonomous and controllable core technologies for artificial intelligence, Internet of Things applications, and cyberspace security. It was founded in 2019 and is based in Kunshan, China.","B2B, Fee-for-service, SaaS",Security Software,,Cybersecurity,,145,,,,China,,Kunshan Hi-Tech Group,,Series A,2021-12-30,,0%,Alive / Active,2019,,
Digital Information,,"Digital Information focuses on network and information security software development, artificial intelligence application software development, and so on. The company was founded in 2022 and is based in Zhengzhou, China.",,Internet Software & Services,,,,,,,,China,,AsiaInfo Technologies,,Seed,2022-04-19,,0%,Alive / Active,2022,,
Morpheus,morpheus-identity.com,"Morpheus specializes in cybersecurity, artificial intelligence, and payment processing within the technology sector. The company offers solutions that enhance digital security, integrate AI capabilities, and streamline payment transactions. Morpheus primarily serves sectors that require robust security measures and advanced technology integration, such as financial services and e-commerce platforms. It was founded in 2022 and is based in Timisoara, Romania.","B2B, SaaS",Internet Software & Services,Asset & Financial Management & Trading,,,435,1: Emerging,0.48%,20.25%,Romania,,Rubik Garage,,,,0,0%,Alive / Active,2022,,
Final Aim,final-aim.com,"Final Aim specializes in integrating blockchain and smart contracts technologies into industrial design and manufacturing. The company offers a blockchain platform that enhances the authenticity and security of generative AI design in the design and manufacturing sectors. Final Aim primarily serves the design and manufacturing industries with a focus on leveraging smart contracts for secure and verifiable transactions. It was founded in 2019 and is based in Tokyo, Japan.","B2B, Fee-for-service, Marketplace, SaaS",Consulting & Outsourcing,Management & Strategy Consulting,Blockchain,,,,0.48%,3.24%,Japan,0.20,"Berkeley SkyDeck, Plug and Play Japan, Japan-US Innovation Award, Craig Tegel, Alchemist Accelerator",,Incubator/Accelerator,2023-10-03,8,-11.111111%,Alive / Active,2019,,
AllGoVision Technologies,allgovision.com,"AllGoVision Technologies specializes in AI-based intelligent video analytics software within the security and surveillance industry. The company offers a suite of video analytics solutions that leverage deep learning and artificial intelligence to provide video monitoring, security enhancements, and operational efficiency improvements. AllGoVision's products are designed to make video data searchable, actionable, and quantifiable for various applications such as smart cities, buildings, retail, and traffic management. It was founded in 2010 and is based in Bengaluru, India.","B2B, B2G, SaaS",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",,,,,0.47%,6.93%,India,,"Ashwin Amarapur, K Srinivasan",,Angel,2016-11-15,77,-14.444445%,Alive / Active,2010,,
Alps System Integration,alsi.co.jp,"Alps System Integration provides digital solutions, security solutions, artificial intelligence (AI), and internet of things (IoT) solutions. It specializes in information technology strategies for electronic components. Alps System Integration was founded in 1990 and is based in Tokyo, Japan.","B2B, Fee-for-service",IT Services,IT Solutions & Software Development,,,,,0.65%,13.35%,Japan,,,,,,,0%,Alive / Active,,,
Spectra,spectra.co,"Spectra is a company that focuses on providing technological solutions in the network security and connectivity industry. The company offers a range of services including robust connectivity, managed Wi-Fi, managed SD-WAN, managed security, and AI-enabled video analytics, all designed to optimize and transform businesses and enterprises. Spectra primarily serves sectors such as retail, education, logistics, banking and financial services, co-living, hospitals, hotels, IT and ITES, and co-working. It was founded in 2000 and is based in Gurugram, India.","B2B, B2G, Fee-for-service, SaaS, Usage-based",Internet Software & Services,Internet Service Provider,,,526,4: Scaling,0.65%,7.38%,India,,,,,,845,14.035088%,Alive / Active,2000,,
RAD,roboticassistancedevices.com,"RAD is a developer in the delivery of artificial intelligence and robotic solutions for operational, security, and monitoring needs. RAD is founded on the belief that next-generation robots can help organizations streamline operations, increase ROI, and strengthen business. RAD robotic solutions are well-suited for use in multiple industries such as enterprises, government, transportation, critical infrastructure, education, and healthcare.",,Machinery & Equipment,Robotics,Robotics,,,,,,United States,,On the Move Systems,,,,,0%,Merged,,,
Pro-Vigil,pro-vigil.com,"Pro-Vigil is a company that specializes in remote video surveillance and monitoring, operating within the security industry. The company offers services such as advanced camera surveillance, artificial intelligence technology, and remote security guard services, providing comprehensive security solutions. These services are primarily targeted towards sectors such as construction, auto dealerships, and other businesses requiring robust security measures. It was founded in 2006 and is based in San Antonio, Texas.","B2B, Fee-for-service, SaaS",Security Products,Security & Monitoring Equipment,,,464,,0.48%,12.49%,United States,,The Riverside Company,,Private Equity,2015-02-18,655,7.026144%,Alive / Active,2006,,
Cadea,cadea.ai,"Cadea is a company focused on providing security solutions for large language models (LLMs) within the AI industry. The company offers products that enable enterprises to deploy AI tools with enhanced data security, access control, and protection against AI threats, without the need for technical jargon. Cadea's services are primarily utilized by sectors with stringent security requirements such as finance, healthcare, legal, and defense. It was founded in 2023 and is based in New Castle, Delaware.","B2B, SaaS, Usage-based",Internet Software & Services,Monitoring & Security,Cybersecurity,Role-based access control (RBAC) (Enterprise Tech),,1: Emerging,0.48%,29.43%,United States,,Soma Capital,,,,,0%,Alive / Active,2023,,
Precise Technologies,precise-tech.net,"Precise Technologies is a value-added distributor specializing in disruptive and emerging technologies within the cybersecurity, information security, AI-based analytics, and digital transformation sectors. The company offers solutions that protect networks and data, prevent unauthorized information access, provide AI-enhanced data insights, and facilitate organizational change through digital technologies. Precise Technologies primarily serves the information technology and cybersecurity sectors with its niche and unique technology solutions. It is based in Dubai, United Arab Emirates.",B2B,Internet Software & Services,Monitoring & Security,,,,,0.50%,12.83%,United Arab Emirates,,,,,,0,0%,Alive / Active,,,
Judy Security,judysecurity.ai,"Judy Security focuses on providing cybersecurity solutions for managed service providers (MSPs) and managed security service providers (MSSPs), focusing on the needs of small and medium-sized businesses (SMBs). The company offers artificial intelligence (AI)-driven, enterprise-grade security platforms including endpoint resiliency, identity access management, compliance automation, and threat detection and response. Judy Security's products are tailored to support businesses in safeguarding their digital assets and ensuring regulatory compliance. Judy Security was formerly known as AaDya Security. It was founded in 2019 and is based in Detroit, Michigan.",,Internet Software & Services,Monitoring & Security,"Artificial Intelligence, Cybersecurity","Unified threat management (UTM) (Enterprise Tech), Security awareness training (Enterprise Tech), Endpoint detection & response (EDR) (Enterprise Tech)",689,3: Deploying,0.44%,11.94%,United States,18.06,"645 Ventures, Firebrand Ventures, Next Coast Ventures, Companyon Ventures, Gaingels, Gutbrain Ventures, ID Ventures, PBJ Capital, Left Lane Capital",5.00,Series A,2023-04-25,0,0%,Alive / Active,2019,,
Sure Valley Ventures,surevalleyventures.com,"Sure Valley Ventures is a venture capital firm focused on supporting early-stage software entrepreneurs in the AI, immersive tech, metaverse, and security sectors. The firm provides funding and resources to help these businesses grow and achieve a global impact. Sure Valley Ventures primarily invests in companies that develop innovative technologies and solutions across various industries, including cybersecurity, environmental risk analytics, and IoT communication. Sure Valley Ventures was formerly known as Suir Valley Ventures. It was founded in 2017 and is based in London, England.","B2B, Fee-for-service",Investment Firms & Funds,,,,,,0.69%,12.37%,United Kingdom,,,,,,41,-4.6511626%,Alive / Active,2017,,
Securesemi,securesemi.com,"Securesemi focuses on enhancing hardware security in the integrated circuit design industry. Its main offering is an artificial intelligence (AI) assisted design security analyzer tool that provides security assessments for locked integrated circuit designs. The company primarily serves sectors that require the protection of intellectual property in the globalized integrated circuit supply chain. It was founded in 2018 and is based in Milpitas, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,,,,,0.57%,8.91%,United States,0.26,National Science Foundation,0.26,Grant,2021-11-15,,0%,Alive / Active,2018,,
Advai,advai.co.uk,"Advai specializes in artificial intelligence assurance within the technology sector. The company offers a suite of tools for testing, evaluating, and ensuring the trustworthiness of AI systems, utilizing advanced research methodologies. Advai primarily serves sectors that require robust and secure AI applications, such as national security and financial compliance. It was founded in 2020 and is based in London, England.","B2B, Fee-for-service, SaaS",Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",,,248,3: Deploying,0.45%,1.40%,United Kingdom,,"CyLon Ventures, Creative Destruction Lab, Tech Nation Applied AI",,Incubator/Accelerator - II,2022-10-06,25,19.047619%,Alive / Active,2020,,
San Diego State University’s Cyber Tech Academy,cyberonline.sdsu.edu,"San Diego State University’s Cyber Tech Academy offers cybersecurity training through a suite of 14-week certificates focused on the most pressing topics in the industry. It offers certification in artificial intelligence for cyber security, cloud security and governance, cyber governance and risk management, cyber security in healthcare, and much more. It was founded in 1897 and is based in San Diego, California.","B2C, Fee-for-service",Internet Software & Services,Education & Training,,,570,,,,United States,,,,,,30,20%,Alive / Active,1897,,
Sixth,trysixth.com,"Sixth focuses on cybersecurity. The company offers an application security platform that helps teams protect applications, increase visibility, and secure code using AI-based static application security testing (SAST). Sixth was founded in 2023 and is based in London, United Kingdom.","B2B, SaaS",Security Software,,Cybersecurity,,419,1: Emerging,0.44%,6.68%,United Kingdom,,Ingressive Capital,,,,5,66.666664%,Alive / Active,2023,,
Cyber Insight,cyber-insight.de,"Cyber Insight specializes in IT security and regulatory compliance, offering a SaaS solution for risk management. The company provides a platform that uses artificial intelligence to identify, manage, and mitigate security risks, offering automated security assessments and prioritized action recommendations. Cyber Insight primarily serves law firms, IT service providers, management consultants, insurance companies, and their clients in the IT security and regulatory compliance sectors. It was founded in 2022 and is based in Leipzig, Germany.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,Cyber risk management (Enterprise Tech),260,2: Validating,0.47%,23.39%,Germany,,Technologiegrunderfonds Sachsen,,Seed VC,2023-03-31,15,25%,Alive / Active,2022,,
DeepTrust,deeptrustai.com,"DeepTrust specializes in AI-based detection of fake content. The company offers solutions that analyze and verify audio files to detect AI-generated content, ensuring the integrity of audio communications. DeepTrust's services are utilized by businesses looking to improve their security infrastructure against AI-enabled imitation threats. It was founded in 2023 and is based in San Francisco, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,446,3: Deploying,0.44%,7.01%,United States,,Founders,,,,2,0%,Alive / Active,2023,,
AllPriv,allpriv.com,"AllPriv specializes in cybersecurity solutions within the technology sector. The company offers zero-trust endpoint security managed by artificial intelligence and secured by blockchain, aiming to protect remote workforces and connected devices without burdening the user. Its solutions are designed to mitigate risks associated with remote work and connected device security, catering to industries such as government, finance, healthcare, military, and manufacturing. It was founded in 2017 and is based in Aniane, France.","B2B, B2G, SaaS",Internet Software & Services,Monitoring & Security,Conference Exhibitors,,,,0.46%,6.77%,France,,,,,,,0%,Alive / Active,2017,,
Traces AI,traces.ai,"Traces AI specializes in artificial intelligence video analytics within the security and surveillance sector. The company offers a suite of tools that enable real-time video understanding, forensic search capabilities, and advanced alarm filtering to transform cameras into intelligent security assets. It primarily serves sectors such as security, retail, and transport with its technology solutions. The company was founded in 2019 and is based in Sunnyvale, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,"Smart Cities, Artificial Intelligence, Cybersecurity",,365,,0.47%,3.73%,United States,0.15,"Y Combinator, Google for Startups Ukraine Support Fund",,Incubator/Accelerator,2024-09-27,2,0%,Alive / Active,2019,,
Reflect,reflect.app,"Reflect is a note-taking application that specializes in creating a networked structure of notes for personal and professional use. The application offers features such as cross-device synchronization of notes, end-to-end encryption for security, and AI-powered tools to enhance writing and organization. Reflect's platform is designed to integrate with various devices and services, including calendar apps and web browsers, to streamline the note-taking process and improve productivity. It was founded in 2021 and is based in Austin, Texas.","B2C, SaaS",Internet Software & Services,Application & Data Integration,,,,,0.66%,11.46%,United States,,,,,,1,0%,Alive / Active,2021,,
YieldX,yieldx.biz,"YieldX is an AI/IoT-based precision biosecurity data security platform for agricultural technology, bridging the gap between livestock farming and singularity through the prediction and early detection of diseases, allowing unprecedented animal predictive care. It was founded in 2020 and is based in Caesarea, Israel.","B2B, SaaS",Internet Software & Services,Healthcare,Artificial Intelligence,,262,,0.56%,7.64%,Israel,0.12,Techstars Tel Aviv Accelerator,0.12,Seed,2021-10-25,,0%,Alive / Active,2020,,
365 iTechnology,365technology.com,"365 iTechnology specializes in professional training and certification for Microsoft technologies within the education sector. The company offers a range of courses and workshops focused on Dynamics 365, Power Platform, Azure, AI, and Cyber Security, all delivered in a virtual classroom format. 365 iTechnology primarily serves individuals and organizations seeking to enhance their skills in Microsoft products and services for professional development and digital transformation. It is based in Basingstoke, England.","B2B, Fee-for-service, SaaS",IT Services,,,,,,1.16%,14.18%,United Kingdom,,LMS Capital,,,,,0%,Alive / Active,,,
ITX-AI,itxsecurity.com,"ITX-AI focuses on digital security equipment within the surveillance technology sector. The company offers products such as network cameras, network video recorders (NVRs), digital video recorders (DVRs), and video management systems (VMS), which are essential for IP-based surveillance, enabling video streaming, storage, retrieval, and playback.  It is based in Seoul, South Korea.","B2B, Manufacturer",Security Products,Security & Monitoring Equipment,,,,,0.83%,6.30%,South Korea,,Atinum Investment,,,,,0%,Alive / Active,,,
Mayachitra,mayachitra.com,"Mayachitra focuses on multimodal data analysis and cyber security within the AI/ML/NLP technology sector. The company offers deep learning and computer vision solutions to address challenges in malware detection and multimedia data analytics. Mayachitra primarily serves industries that require advanced image informatics solutions, including security, biomedical imaging, defense, and entertainment. It is based in Santa Barbara, California.","B2B, B2G, SaaS",Aerospace & Defense,,,,,,0.90%,7.18%,United States,,,,,,8,0%,Alive / Active,,,
Arcadian.ai,arcadian.ai,"Arcadian.ai offers in cloud-based video security monitoring and artificial intelligence (AI) powered surveillance solutions within the security industry. The company offers services that include real-time security alerts, loss prevention analytics, and customer movement mapping to enhance retail and business security. It primarily serves the retail and security sectors, offering tools to improve loss prevention and customer insights. It was founded in 2022 and is based in Dover, Delaware.","B2B, SaaS, Usage-based",Internet Software & Services,Monitoring & Security,Cybersecurity,,,1: Emerging,0.45%,7.60%,United States,,,,,,7,0%,Alive / Active,2022,,
Corgea,corgea.com,"Corgea is a company that specializes in automating the resolution of vulnerable source code for security teams within the software development industry. The company provides AI-driven tools that enable security teams to issue fixes for vulnerable code, which engineers can then review and approve. These tools are designed to integrate seamlessly with popular development platforms like GitHub, Gitlab, and Bitbucket, simplifying the process of securing code and allowing engineers to focus on revenue-generating tasks. It was founded in 2021 and is based in San Francisco, California.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,Code review (Enterprise Tech),387,3: Deploying,0.48%,14.94%,United States,0.68,Y Combinator,0.18,Convertible Note - II,2023-06-13,3,-25%,Alive / Active,2021,,
TTM,to-tm.com,"TTM specializes in providing cybersecurity solutions and services across various business sectors. The company offers AI-driven endpoint security, cybersecurity consulting, and web marketing support to enhance the security posture of organizations. TTM primarily serves businesses looking for robust security measures and digital marketing strategies. It was founded in 2018 and is based in Tokyo, Japan. In August 2024, TTM was acquired by Marubeni IT Solutions.",,Internet Software & Services,Monitoring & Security,Cybersecurity,,,,,,Japan,,Marubeni IT Solutions,,,,,0%,Acquired,2018,,
LogicHub,logichub.com,"LogicHub provides threat detection services. The company's products include managed detection & response (MDR), security automation (SOAR), and artificial intelligence threat detection. It develops a platform that is based on automation and neural net architecture. The company was founded in 2016 and is based in Mountain View, California. In September 2022, LogicHub was acquired by Devo Technology. The terms of the transaction were not disclosed.",,IT Services,Data Storage & Security,"Artificial Intelligence, Cybersecurity",Security orchestration automation & response (SOAR) (Enterprise Tech),,,,,United States,16.35,"Nexus Venture Partners, Storm Ventures, Paycheck Protection Program, Devo",0.68,Loan,2020-04-15,16,-15.789474%,Acquired,2016,,
Unicloud,unicloud.com,"Unicloud is a company that focuses on cloud computing and artificial intelligence in the technology industry. The company offers a range of services including data storage, network security, database management, and artificial intelligence solutions. Its primary customers are in sectors such as ecommerce, real estate tech, and the cloud computing industry. It was founded in 2018 and is based in Beijing, China.","B2B, SaaS",IT Services,,,,535,3: Deploying,2.13%,0.81%,China,383.44,"Jiankun Group, Tsinghua Unigroup, Tsinghua Unisplendour Corporation, Xunuo Asset, Zhongyi Capital",93.10,Unattributed VC,2021-09-12,,0%,Alive / Active,2018,,
Camect,camect.com,"Camect focuses on enhancing security camera functionality through artificial intelligence. It offers a main product, a smart camera hub that uses artificial intelligence (AI) to accurately detect and filter objects, reducing false alerts from irrelevant sources like bugs, animals, and weather, while highlighting important alerts about people in unexpected places. The hub also offers private storage and continuous recording. Its primary services are utilized in the security industry. It was founded in 2016 and is based in Mountain View, California.","B2B, Manufacturer",Security Products,Security & Monitoring Equipment,,AI-powered video security monitoring (Enterprise Tech),248,3: Deploying,1.16%,17.27%,United States,0.54,Indiegogo,0.54,Angel,2019-10-10,18,0%,Alive / Active,2016,,
Nepox,nepox.com,"Nepox specializes in cybersecurity solutions within the technology sector. The company offers products such as home WiFi routers and business cyber security routers, along with AI-powered cloud services. Nepox also provides advanced solutions for creating 3D body scans using smartphones, aimed at enhancing online shopping experiences with virtual fitting rooms and stylist services. It was founded in 2019 and is based in Manchester, England.","B2B, B2C, Manufacturer, Retailer, SaaS",Mobile Software & Services,Science & Engineering,"Artificial Intelligence, Digital Content & Synthetic Media",,,,0.48%,2.22%,United Kingdom,,,,,,,0%,Alive / Active,2019,,
REAKTO,reakto.eu,"REAKTO specializes in drone-based rapid response systems for the security sector. The company offers a service that utilizes drones for quick reaction to security alerts, providing verification of alarms and tactical support with thermal imaging and AI. REAKTO primarily serves the security industry, offering its drone infrastructure to security firms and their clients. It was founded in 2020 and is based in Krakow, Poland.","B2B, Fee-for-service",Machinery & Equipment,Robotics,Artificial Intelligence,,291,2: Validating,0.52%,9.98%,Poland,1.50,"Smartfunds, AMM Global",,Seed,2023-04-05,0,0%,Alive / Active,2020,,
iteratec,iteratec.de,"iteratec is a software development company focused on creating unique digital solutions and innovations. The company specializes in developing custom software and systems, offering services that range from digital transformation and artificial intelligence to IT security and Web3 applications. iteratec primarily serves sectors that require advanced digital solutions, including but not limited to, the automotive, healthcare, logistics, and public sectors. It was founded in 1996 and is based in Munich, Germany.","B2B, B2G, Fee-for-service",Internet Software & Services,Application & Data Integration,,,,,0.73%,8.09%,Germany,,Startplatz,,,,,0%,Alive / Active,1996,,
